day,profit
300,90.494502
301,99.926545
302,95.325385
303,113.262466
304,92.353462
305,124.751889
306,95.562344
307,124.991991
308,112.562786
309,68.206486
310,150.101541
311,161.565868
312,129.515741
313,169.264389
314,66.976759
315,49.146184
316,37.104245
317,139.145204
318,106.494858
319,134.304953
320,107.896041
321,103.584235
322,94.690604
323,110.752509
324,105.838586
325,124.980396
326,65.953575
327,115.357044
328,81.516931
329,76.641223
330,65.098666
331,139.712177
332,102.221862
333,95.226622
334,64.296054
335,123.293948
336,112.677971
337,85.941811
338,178.804826
339,182.127493
340,67.010206
341,99.635402
342,90.246907
343,58.868989
344,74.006245
345,162.866861
346,89.262302
347,127.501536
348,119.695985
349,112.351703
350,109.370425
351,83.937234
352,176.911796
353,59.261579
354,70.140432
355,63.737138
356,94.572997
357,61.584200
358,85.472457
359,81.320406
360,186.723646
361,99.676810
362,117.959556
363,87.607363
364,76.369322
